Product,Category,January_Sales,February_Sales,March_Sales,April_Sales,May_Sales,June_Sales,July_Sales,August_Sales,September_Sales,October_Sales,November_Sales,December_Sales
Graphing Calculators,General,191817,434,70654,166571,99066,64423,72846,52744,16150,98130,42312,133095
Office Supplies,General,156628,82183,125043,11205,130896,31214,199932,121453,61049,16068,18098,46061
Encyclopedias,Educational,6299,119153,161717,145195,22305,38385,9183,157398,169316,30902,74336,17180
Building Blocks,Fun and Games,8313,184270,186021,190255,8211,134736,154287,4735,71620,113519,20765,91844
Books about Dinosaurs,Fun and Games,193667,76441,163244,116158,42346,166919,153584,72374,155810,44161,55709,33694
Viggo Mortenson DVDs,Fun and Games,181291,178860,144830,35341,136331,199431,42309,42458,184727,80648,54734,132706
Clothing,General,6988,71830,69881,137635,168495,118806,199716,153901,145946,20584,190893,169875
Frisbee and Frisbee Accessories,Fun and Games,4940,105607,53949,72655,140850,68332,154956,158538,116732,153754,46668,34578
Legumes,General,73467,154459,92995,68466,159429,130945,32288,140673,153088,73637,176343,137683
Microscopes,Educational,206,324,925,633,487,168,235,154,1432,861,530,1279
